Month,Mkt (vwretd),SMB,HML,Risk-Free,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19991029,0.0532,-0.0667,-0.0326,0.0039,0.05472,-0.03693,-0.02986,-0.03677,-0.04497,-0.03244,-0.01572,-0.004,0.01382,0.07015
19991130,0.0061,0.0753,-0.0776,0.0036,-0.00724,0.06345,0.02221,0.0067,0.01499,0.00329,0.01964,0.00211,0.00784,0.00998
19991231,0.0292,0.0681,-0.0909,0.0044,0.2806,0.08315,0.03426,0.03518,0.05482,0.05892,0.04701,0.03516,0.03861,0.0319
20000131,-0.0461,0.0431,0,0.0041,0.13288,0.06748,0.01615,0.01759,0.00011,-0.02784,-0.03175,-0.04437,-0.05106,-0.04228
20000229,-0.0428,0.2183,-0.1265,0.0043,0.08676,0.05249,0.06426,0.02898,0.03747,0.01206,0.00144,-0.03017,-0.01026,-0.0444
20000331,0.0904,-0.1662,0.0793,0.0047,-0.00711,0.0101,0.01721,-0.00389,0.00582,0.02894,0.05493,0.10475,0.10695,0.09673
20000428,-0.0122,-0.0755,0.0921,0.0046,-0.11893,-0.09257,-0.03633,-0.03819,-0.01966,-0.00243,0.00611,-0.01085,0.02047,-0.01032
20000531,-0.0065,-0.0474,0.0377,0.005,-0.05607,-0.05083,-0.02511,-0.01997,-0.00424,-0.00436,0.00396,-0.01,0.0071,-0.00193
20000630,-0.0014,0.1343,-0.0979,0.004,0.0546,0.04549,0.10866,0.05234,0.02963,0.03826,0.02037,0.00055,-0.01474,0.00307
20000731,-0.0050,-0.0271,0.0848,0.0048,-0.01714,-0.00229,-0.03628,0.00279,0.0085,0.00104,0.01838,0.02983,0.01056,-0.00307
20000831,0.0525,-0.0096,-0.0128,0.005,0.05314,0.02065,0.06673,0.05472,0.04842,0.05331,0.05172,0.05441,0.06877,0.05675
20000929,-0.0197,-0.0173,0.068,0.0051,-0.02675,-0.01368,-0.02272,-0.00022,-0.00155,-0.00084,-0.00122,-0.00806,-0.00212,-0.01677
20001031,-0.0044,-0.0363,0.0511,0.0056,-0.07079,-0.05944,-0.04098,-0.03923,-0.03971,-0.03173,-0.02043,-0.00327,-0.01542,0.0048
20001130,-0.0561,-0.0306,0.1245,0.0051,-0.07411,-0.05842,-0.07577,-0.04747,-0.04379,-0.03705,-0.03282,-0.01559,-0.03649,-0.05458
20001229,0.0376,0.0163,0.0609,0.005,-0.02271,0.01501,0.05011,0.05644,0.08898,0.1029,0.10698,0.10603,0.09031,0.032
20010131,0.0086,0.0678,-0.0573,0.0054,0.29781,0.22019,0.14946,0.13122,0.12919,0.08768,0.0649,0.02799,0.02842,0.00816
20010228,-0.0606,-0.0116,0.1365,0.0039,-0.07697,-0.05944,-0.03677,-0.01764,-0.01301,-0.01651,-0.01545,-0.0184,-0.02339,-0.06392
20010330,-0.0545,0.0058,0.0625,0.0044,-0.08289,-0.0528,-0.01151,-0.03554,-0.01703,-0.02446,-0.01832,-0.03199,-0.03243,-0.05435
